Average			Trial One				Trial Two				Trial Three				Trial Four				Trial Five				Trial Six				Trial Seven				Trial Eight				Trial Nine				Trial Ten				Trial Eleven				Trial Twelve				Trial Thirteen				Trial Fourteen				Trial Fifteen				Trial Sixteen				Trial Seventeen				Trial Eighteen				Trial Nineteen				Trial Twenty			
Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct	Iteration	Rabbit Pct	Wolf Pct	Grass Pct
			---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------	---------	----------	--------	---------
0.04	0.01	0.2	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20	0.00	0.04	0.01	0.20
0.03975	0.01	0.2102	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21	1.00	0.04	0.01	0.21
0.0381	0.01	0.2153	2.00	0.04	0.01	0.21	2.00	0.04	0.01	0.22	2.00	0.03	0.01	0.22	2.00	0.04	0.01	0.22	2.00	0.04	0.01	0.22	2.00	0.04	0.01	0.21	2.00	0.04	0.01	0.21	2.00	0.04	0.01	0.22	2.00	0.04	0.01	0.22	2.00	0.04	0.01	0.21	2.00	0.04	0.01	0.21	2.00	0.04	0.01	0.22	2.00	0.04	0.01	0.22	2.00	0.04	0.01	0.22	2.00	0.04	0.01	0.21	2.00	0.04	0.01	0.21	2.00	0.04	0.01	0.22	2.00	0.04	0.01	0.22	2.00	0.04	0.01	0.22	2.00	0.04	0.01	0.22
0.0364	0.01	0.2165	3.00	0.04	0.01	0.22	3.00	0.03	0.01	0.22	3.00	0.03	0.01	0.22	3.00	0.04	0.01	0.22	3.00	0.04	0.01	0.22	3.00	0.03	0.01	0.22	3.00	0.04	0.01	0.22	3.00	0.03	0.01	0.22	3.00	0.04	0.01	0.22	3.00	0.04	0.01	0.21	3.00	0.03	0.01	0.22	3.00	0.04	0.01	0.22	3.00	0.03	0.01	0.22	3.00	0.04	0.01	0.21	3.00	0.04	0.01	0.22	3.00	0.04	0.01	0.22	3.00	0.04	0.01	0.22	3.00	0.04	0.01	0.21	3.00	0.03	0.01	0.22	3.00	0.04	0.01	0.22
0.0347	0.01	0.2219	4.00	0.04	0.01	0.22	4.00	0.03	0.01	0.22	4.00	0.03	0.01	0.22	4.00	0.04	0.01	0.22	4.00	0.04	0.01	0.22	4.00	0.03	0.01	0.22	4.00	0.04	0.01	0.22	4.00	0.03	0.01	0.23	4.00	0.03	0.01	0.22	4.00	0.04	0.01	0.22	4.00	0.03	0.01	0.22	4.00	0.04	0.01	0.22	4.00	0.03	0.01	0.22	4.00	0.04	0.01	0.22	4.00	0.04	0.01	0.22	4.00	0.03	0.01	0.22	4.00	0.04	0.01	0.22	4.00	0.04	0.01	0.22	4.00	0.03	0.01	0.22	4.00	0.04	0.01	0.22
0.0334	0.01	0.2307	5.00	0.03	0.01	0.23	5.00	0.03	0.01	0.23	5.00	0.03	0.01	0.23	5.00	0.04	0.01	0.23	5.00	0.04	0.01	0.23	5.00	0.03	0.01	0.23	5.00	0.04	0.01	0.23	5.00	0.03	0.01	0.24	5.00	0.03	0.01	0.23	5.00	0.03	0.01	0.23	5.00	0.03	0.01	0.23	5.00	0.03	0.01	0.23	5.00	0.03	0.01	0.23	5.00	0.03	0.01	0.23	5.00	0.04	0.01	0.23	5.00	0.03	0.01	0.23	5.00	0.03	0.01	0.23	5.00	0.04	0.01	0.23	5.00	0.03	0.01	0.23	5.00	0.04	0.01	0.23
0.03175	0.01	0.2392	6.00	0.03	0.01	0.24	6.00	0.03	0.01	0.24	6.00	0.03	0.01	0.24	6.00	0.04	0.01	0.24	6.00	0.03	0.01	0.24	6.00	0.03	0.01	0.24	6.00	0.04	0.01	0.24	6.00	0.03	0.01	0.25	6.00	0.03	0.01	0.24	6.00	0.03	0.01	0.24	6.00	0.03	0.01	0.24	6.00	0.03	0.01	0.24	6.00	0.03	0.01	0.24	6.00	0.03	0.01	0.24	6.00	0.04	0.01	0.24	6.00	0.03	0.01	0.24	6.00	0.03	0.01	0.24	6.00	0.04	0.01	0.24	6.00	0.03	0.01	0.24	6.00	0.04	0.01	0.24
0.031	0.01	0.2487	7.00	0.03	0.01	0.25	7.00	0.03	0.01	0.25	7.00	0.03	0.01	0.25	7.00	0.03	0.01	0.25	7.00	0.03	0.01	0.25	7.00	0.03	0.01	0.25	7.00	0.04	0.01	0.25	7.00	0.03	0.01	0.26	7.00	0.03	0.01	0.25	7.00	0.03	0.01	0.25	7.00	0.03	0.01	0.25	7.00	0.03	0.01	0.25	7.00	0.03	0.01	0.25	7.00	0.03	0.01	0.25	7.00	0.03	0.01	0.25	7.00	0.03	0.01	0.25	7.00	0.03	0.01	0.25	7.00	0.03	0.01	0.25	7.00	0.02	0.01	0.25	7.00	0.04	0.01	0.25
0.03	0.01	0.2576	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.27	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.03	0.01	0.26	8.00	0.02	0.01	0.26	8.00	0.03	0.01	0.26
0.03005	0.01035	0.2668	9.00	0.03	0.01	0.27	9.00	0.02	0.01	0.27	9.00	0.03	0.01	0.27	9.00	0.03	0.01	0.27	9.00	0.03	0.01	0.27	9.00	0.03	0.01	0.27	9.00	0.03	0.01	0.27	9.00	0.04	0.02	0.28	9.00	0.03	0.01	0.27	9.00	0.03	0.01	0.27	9.00	0.03	0.01	0.27	9.00	0.03	0.01	0.27	9.00	0.03	0.01	0.27	9.00	0.03	0.01	0.27	9.00	0.03	0.01	0.27	9.00	0.03	0.01	0.27	9.00	0.02	0.01	0.27	9.00	0.03	0.01	0.27	9.00	0.02	0.01	0.27	9.00	0.03	0.01	0.27
0.0448	0.0155	0.27595	10.00	0.04	0.01	0.28	10.00	0.04	0.02	0.28	10.00	0.04	0.02	0.28	10.00	0.05	0.02	0.28	10.00	0.04	0.02	0.27	10.00	0.04	0.01	0.28	10.00	0.04	0.02	0.27	10.00	0.04	0.02	0.28	10.00	0.04	0.01	0.28	10.00	0.04	0.01	0.28	10.00	0.05	0.01	0.28	10.00	0.05	0.02	0.28	10.00	0.06	0.02	0.28	10.00	0.05	0.01	0.28	10.00	0.05	0.01	0.27	10.00	0.06	0.02	0.28	10.00	0.03	0.02	0.28	10.00	0.06	0.02	0.27	10.00	0.03	0.01	0.28	10.00	0.05	0.01	0.28
